ID,Name,SMILES,LogS,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,IsAmide
A-542,"N,N-dibutyloctadec-9-enamide",CCCCCCCC\C=C/CCCCCCCC(=O)N(CCCC)CCCC,-4.78898544079999,393.7,8.4527,125.848,28,1,0,2,21,166,0,0,0,0,20.31,True
A-656,"N,2-dimethyl-N-phenylbutanamide",CCC(C)C(=O)N(C)c1ccccc1,-1.5805795126,191.274,2.6955,59.307,14,1,0,2,3,76,1,0,0,1,20.31,True
A-659,pyridine-3-carboxamide,NC(=O)c1cccnc1,0.6121583154,122.126999999999,0.1805,32.7549,9,2,1,3,1,46,1,0,0,1,55.98,True
A-722,2-oxo-N-{6-[(2-oxoazepane-1-carbonyl)amino]hexyl}azepane-1-carboxamide,O=C1CCCCCN1C(=O)NCCCCCCNC(=O)N2CCCCCC2=O,-3.9064006561,394.516,2.7712,105.6274,28,4,2,8,7,158,0,2,2,2,98.82,True
A-781,Tazobactam,C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)[S]1(=O)=O)C(O)=O,-1.8384616763,300.296,-1.52319999999999,64.0216,20,7,1,10,3,108,1,2,2,3,122.46,True
A-800,"benzyl({[(2,6-dimethylphenyl)carbamoyl]methyl})diethylazanium benzoate hydrate",CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc2ccccc2.[O-]C(=O)c3ccccc3,-1.020958606,446.591,4.34884,131.6736,33,3,1,5,8,174,3,0,0,3,69.2299999999999,True
A-843,"3-methyl-1-({3-[(3-methyl-2,5-dioxo-2,5-dihydro-1H-pyrrol-1-yl)methyl]phenyl}methyl)-2,5-dihydro-1H-pyrrole-2,5-dione",CC1=CC(=O)N(Cc2cccc(CN3C(=O)C=C(C)C3=O)c2)C1=O,-3.9003349932,324.336,1.3168,85.07,24,4,0,6,4,122,1,0,2,3,74.76,True
A-886,"6-amino-2-(2,4-dimethylphenyl)-1H-benzo[de]isoquinoline-1,3(2H)-dione",Cc1ccc(N2C(=O)c3cccc4c(N)ccc(C2=O)c34)c(C)c1,-4.8916555333,316.36,3.83944,95.4164,24,3,1,4,1,118,3,0,1,4,63.4,True
A-889,Naphthalimide,O=C1NC(=O)c2cccc3cccc1c23,-4.6928315029,197.192999999999,1.7234,55.7447,15,2,1,3,0,72,2,0,1,3,46.17,True
A-901,"1,2-benzisothiazol-3(2H)-one 1,1-dioxide",O=C1N[S](=O)(=O)c2ccccc12,-1.6718324141,183.188,0.118699999999999,41.094,12,3,1,5,0,62,1,0,1,2,63.24,True
A-908,1-[3-(2-oxoazepane-1-carbonyl)benzoyl]azepan-2-one,O=C1CCCCCN1C(=O)c2cccc(c2)C(=O)N3CCCCCC3=O,-3.9583461947,356.422,2.7722,95.465,26,4,0,6,2,138,1,2,2,3,74.76,True
A-929,trifluoroacetamide,NC(=O)C(F)(F)F,-1.4850227408,113.038,0.0340000000000001,15.2494,7,1,1,5,0,42,0,0,0,0,43.09,True
A-978,"N,N-dimethyldecanamide",CCCCCCCCCC(=O)N(C)C,-2.7681111795,199.338,3.2153,61.304,14,1,0,2,8,84,0,0,0,0,20.31,True
A-1006,3-amino-4-methoxy-N-phenylbenzamide,COc1ccc(cc1N)C(=O)Nc2ccccc2,-3.86580004,242.278,2.5297,71.8016,18,3,2,4,3,92,2,0,0,2,64.35,True
A-1043,4-acetamidobenzene-1-sulfonyl chloride,CC(=O)Nc1ccc(cc1)[S](Cl)(=O)=O,-2.8772524161,233.676,1.57249999999999,53.7845,14,3,1,6,2,76,1,0,0,1,63.24,True
A-1069,"tetrasodium (6Z)-4-acetamido-5-oxo-6-(2-{7-sulfonato-4-[(E)-2-(4-sulfonatophenyl)diazen-1-yl]naphthalen-1-yl}hydrazin-1-ylidene)-5,6-dihydronaphthalene-1,7-disulfonate",[Na+].[Na+].[Na+].[Na+].CC(=O)Nc1ccc(c2C=C(/C(=N/Nc3ccc(N=Nc4ccc(cc4)[S]([O-])(=O)=O)c5ccc(cc35)[S]([O-])(=O)=O)C(=O)c12)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-1.4612448391,867.693,-9.50760000000002,172.263699999999,55,18,2,27,9,266,4,0,1,5,324.08,True
A-1096,"5-[(4-chloro-2-nitrophenyl)diazenyl]-1-ethyl-6-hydroxy-4-methyl-2-oxo-1,2-dihydropyridine-3-carbonitrile",CCN1C(=O)C(=N/Nc2ccc(Cl)cc2[N+]([O-])=O)/C(=C(C#N)C1=O)C,-4.96733793,361.745,2.24488,89.8711,25,7,1,10,4,128,1,0,1,2,128.7,True
A-1098,"6-chloro-5-(2-chloroethyl)-2,3-dihydro-1H-indol-2-one",ClCCc1cc2CC(=O)Nc2cc1Cl,-4.7775740697,230.094,2.6159,58.2097,14,1,1,4,2,74,1,0,1,2,29.1,True
A-1119,N-(4-carbamoylphenyl)-4-nitrobenzamide,NC(=O)c1ccc(NC(=O)c2ccc(cc2)[N+]([O-])=O)cc1,-4.9367254155,285.259,1.94599999999999,76.0095,21,4,2,7,4,106,2,0,0,2,115.33,True
A-1125,"(Z)-N-(4-chloro-2,5-dimethoxyphenyl)-3-hydroxynaphthalene-2-carboximidic acid",COc1cc(NC(=O)c2cc3ccccc3cc2O)c(OC)cc1Cl,-5.06227014579999,357.793,4.4683,98.122,25,4,2,6,4,128,3,0,0,3,67.79,True
A-1128,4-amino-N-(4-carbamoylphenyl)benzamide,NC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1,-4.9156499936,255.277,1.61999999999999,73.7675,19,3,3,5,3,96,2,0,0,2,98.21,True
A-1134,"2,2,4,4-Tetramethyl-7-oxa-3,20-diazadispiro(5.1.11.2)heneicosan-21-one",CC1(C)CC2(CC(C)(C)N1)OC3(CCCCCCCCCCC3)NC2=O,-5.0846644385,364.574,4.8132,106.0044,26,3,2,4,0,150,0,3,3,3,50.36,True
A-1143,azacyclotridecan-2-one,O=C1CCCCCCCCCCCN1,-2.8195043204,197.321999999999,3.0172,59.1797,14,1,1,2,0,82,0,1,1,1,29.1,True
A-1173,"N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutanamide",COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,-2.97924477839999,271.7,2.2748,68.4837,18,4,1,6,5,98,1,0,0,1,64.63,True
A-1196,"N,N-dimethyldodecanamide",CCCCCCCCCCCC(=O)N(C)C,-3.9093070505,227.391999999999,3.9955,70.538,16,1,0,2,10,96,0,0,0,0,20.31,True
A-1213,sodium 2-({2-amino-8-hydroxy-6-[(2-methylphenyl)sulfamoyl]-1-naphthyl}diazenyl)-5-[(chloroacetyl)amino]benzenesulfonate,[Na+].CN(c1ccccc1)[S](=O)(=O)C2=CC(=O)C3=C(NNc4ccc(NC(=O)CCl)cc4[S]([O-])(=O)=O)C(=N)C=CC3=C2,-4.3588570696,626.048,-0.608629999999997,149.343799999999,41,10,4,16,9,208,2,0,2,4,188.66,True
A-1232,(9E)-N-[3-(dimethylamino)propyl]octadec-9-enamide,CCCCCCCC/C=C/CCCCCCCC(=O)NCCCN(C)C,-4.1492593891,366.634,6.0918,115.6327,26,2,1,3,19,154,0,0,0,0,32.34,True
A-1309,"sodium 1-amino-4-[(3-acetamidophenyl)amino]-9,10-dioxo-9,10-dihydroanthracene-2-sulfonate",[Na+].CC(=O)Nc1cccc(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c1,-4.3079108614,473.442,-0.3457,116.153,33,8,3,11,4,162,3,0,1,4,158.489999999999,True
A-1347,4-[4-[[4-chloro-3-(trifluoromethyl)phenyl]carbamoylamino]phenoxy]-N-methylpyridine-2-carboxamide,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,-6.6672950838,464.831,5.5497,113.2386,32,4,3,11,5,166,3,0,0,3,92.35,True
A-1391,4-amino-5-chloro-N-[2-(diethylamino)ethyl]-2-methoxybenzamide,[H+].[Cl-].CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-3.2256490876,336.263,-0.881099999999997,83.6496,21,4,2,7,7,120,1,0,0,1,67.59,True
A-1411,4-methoxy-3-nitro-N-phenylbenzamide,COc1ccc(cc1[N+]([O-])=O)C(=O)Nc2ccccc2,-4.9878258088,272.26,2.8557,74.0436,20,4,1,6,4,102,2,0,0,2,81.47,True
A-1456,3-hydroxy-N-(2-methoxyphenyl)naphthalene-2-carboxamide,[Na+].COc1ccccc1NC(=O)c2cc3ccccc3cc2[O-],-5.1765101856,315.304,0.1783,84.3412,23,3,1,5,3,110,3,0,0,3,61.39,True
A-1470,N-(2-ethoxyphenyl)-3-hydroxynaphthalene-2-carboxamide,CCOc1ccccc1NC(=O)c2cc3ccccc3cc2O,-5.1866018088,307.349,4.1964,91.177,23,3,2,4,4,116,3,0,0,3,58.56,True
A-1555,calcium bis(3-nitro-4-{[2-oxo-1-(phenylcarbamoyl)propyl]diazenyl}benzenesulfonate),[Ca++].CC(=O)C(N=Nc1ccc(cc1[N+]([O-])=O)[S]([O-])(=O)=O)C(=O)Nc2ccccc2.CC(=O)C(N=Nc3ccc(cc3[N+]([O-])=O)[S]([O-])(=O)=O)C(=O)Nc4ccccc4,-4.6745621224,850.814,3.977,195.986599999999,57,18,2,25,14,292,4,0,0,4,342.459999999999,True
A-1617,"2,3,4,5,6,7-hexahydro-1H-isoindole-1,3-dione",O=C1NC(=O)C2=C1CCCC2,-1.974517726,151.164999999999,0.513399999999999,38.6437,11,2,1,3,0,58,0,0,2,2,46.17,True
A-1646,2-octanamidoacetic acid,CCCCCCCC(=O)NCC(O)=O,-2.1115375925,201.266,1.5477,54.0215,14,2,2,4,8,82,0,0,0,0,66.4,True
A-1694,N-(4-hydroxyphenyl)acetamide,CC(=O)Nc1ccc(O)cc1,-1.0333232127,151.165,1.35059999999999,42.4105,11,2,2,3,1,58,1,0,0,1,49.33,True
A-1728,2-amino-5-acetamidobenzene-1-sulfonic acid,CC(=O)Nc1ccc(N)c(c1)[S](O)(=O)=O,-1.2318564393,230.245,0.4739,54.9727,15,4,3,7,2,82,1,0,0,1,109.49,True
A-1759,"ethyl 5-oxo-1-phenyl-4,5-dihydro-1H-pyrazole-3-carboxylate",CCOC(=O)C1=NN(C(=O)C1)c2ccccc2,-3.2553454425,232.239,1.3424,62.613,17,4,0,5,3,88,1,0,1,2,58.97,True
A-1783,"disodium 2,5-dichloro-4-{3-methyl-5-oxo-4-[(E)-2-(4-sulfonatophenyl)diazen-1-yl]-4,5-dihydro-1H-pyrazol-1-yl}benzene-1-sulfonate",[Na+].[Na+].CC1=NN(C(=O)C1N=Nc2ccc(cc2)[S]([O-])(=O)=O)c3cc(Cl)c(cc3Cl)[S]([O-])(=O)=O,-0.6605427703,551.297,-3.31539999999999,107.7294,33,10,0,17,5,164,2,0,1,3,171.79,True
A-1789,N-{4-[(2-hydroxyethyl)sulfonyl]phenyl}acetamide,CC(=O)Nc1ccc(cc1)[S](=O)(=O)CCO,-2.3069323017,243.283999999999,0.410999999999999,59.8843,16,4,2,6,4,88,1,0,0,1,83.47,True
A-1798,"2-(cyclohexylsulfanyl)-2,3-dihydro-1H-isoindole-1,3-dione",O=C1N(SC2CCCCC2)C(=O)c3ccccc13,-4.3237941723,261.346,3.2635,71.406,18,3,0,4,2,94,1,1,2,3,37.38,True
A-1808,"N-(4-amino-2,5-diethoxyphenyl)benzamide",CCOc1cc(NC(=O)c2ccccc2)c(OCC)cc1N,-2.4057571965,300.358,3.3185,87.5876,22,4,2,5,6,116,2,0,0,2,73.58,True
A-1814,1-phenylpyrazolidin-3-one,O=C1CCN(N1)c2ccccc2,-1.1448233011,162.192,0.9279,46.5477,12,2,1,3,1,62,1,1,1,2,32.34,True
A-1877,"6-{[amino(phenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,-1.5390164423,349.412,0.3181,89.0289,24,5,3,8,4,128,1,2,2,3,112.729999999999,True
A-1926,"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide",[H+].[Cl-].CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,-4.6731215617,513.509,2.2045,139.109799999999,35,3,1,6,7,186,3,1,1,4,43.78,True
A-1942,N-[3-(dimethylamino)propyl]octadecanamide,CCCCCCCCCCCCCCCCCC(=O)NCCCN(C)C,-4.5666142382,368.65,6.3158,115.7267,26,2,1,3,20,156,0,0,0,0,32.34,True
A-1967,"N,N'-(3,3'-dimethylbiphenyl-4,4'-diyl)bis(3-oxobutanamide)",CC(=O)CC(=O)Nc1ccc(cc1C)c2ccc(NC(=O)CC(C)=O)c(C)c2,-5.3250182341,380.444,3.80564,109.2074,28,4,2,6,7,146,2,0,0,2,92.34,True
A-1968,N-(4-acetamidophenyl)-3-hydroxy-2-naphthamide,CC(=O)Nc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,-5.2503495118,320.348,3.7561,94.3117,24,3,3,5,3,120,3,0,0,3,78.43,True
A-1969,N-(5-chloro-2-methylphenyl)-3-hydroxynaphthalene-2-carboxamide,Cc1ccc(Cl)cc1NC(=O)c2cc3ccccc3cc2O,-5.2385590319,311.768,4.75952,89.755,22,2,2,4,2,110,3,0,0,3,49.33,True
A-1981,3-hydroxy-N-(4-methoxyphenyl)-2-naphthamide,COc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,-5.2632246549,293.322,3.8063,86.56,22,3,2,4,3,110,3,0,0,3,58.56,True
A-1998,N-(4-ethoxyphenyl)-3-hydroxy-2-naphthamide,CCOc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,-5.3115405454,307.349,4.1964,91.177,23,3,2,4,4,116,3,0,0,3,58.56,True
A-1999,"N-(5-chloro-2,4-dimethoxyphenyl)-3-hydroxy-2-naphthamide",COc1cc(OC)c(NC(=O)c2cc3ccccc3cc2O)cc1Cl,-5.3775405806,357.793,4.4683,98.122,25,4,2,6,4,128,3,0,0,3,67.79,True
A-2000,Vat brown 3,O=C(Nc1cccc2C(=O)c3c4[nH]c5c(cc(NC(=O)c6ccccc6)c7C(=O)c8ccccc8C(=O)c57)c4ccc3C(=O)c12)c9ccccc9,-5.647161854,665.661,6.7549,202.071099999999,51,6,3,9,4,242,9,0,0,9,142.269999999999,True
A-2042,"(9Z)-N,N-bis(2-hydroxyethyl)octadec-9-enamide",CCCCCCCC/C=C/CCCCCCCC(=O)N(CCO)CCO,-5.567720212,369.59,4.8371,110.2036,26,3,2,4,19,154,0,0,0,0,60.77,True
A-2046,N-(2-hydroxyethyl)octadecanamide,CCCCCCCCCCCCCCCCCC(=O)NCCO,-5.5152815814,327.553,5.3564,99.6415,23,2,2,3,18,138,0,0,0,0,49.33,True
A-2047,N-(4-chlorophenyl)-3-hydroxy-2-naphthamide,Oc1cc2ccccc2cc1C(=O)Nc3ccc(Cl)cc3,-5.4738386427,297.741,4.4511,85.018,21,2,2,4,2,104,3,0,0,3,49.33,True
A-2053,2-bromo-N-[4-chloro-2-(2-fluorobenzoyl)phenyl]acetamide,Fc1ccccc1C(=O)c2cc(Cl)ccc2NC(=O)CBr,-5.5693457861,370.605,4.0435,83.7082,21,2,1,6,4,108,2,0,0,2,46.17,True
A-2113,"methyl 2-amino-4-[(2,5-dichlorophenyl)carbamoyl]benzoate",COC(=O)c1ccc(NC(=O)c2cc(Cl)ccc2Cl)cc1N,-5.7900649855,339.178,3.6145,86.6091,22,4,2,7,3,114,2,0,0,2,81.42,True
A-2140,"methyl 4-[(2,5-dichlorophenyl)carbamoyl]-2-nitrobenzoate",COC(=O)c1ccc(cc1[N+]([O-])=O)C(=O)Nc2cc(Cl)ccc2Cl,-5.965154646,369.16,3.9405,88.8511,24,5,1,9,4,124,2,0,0,2,98.5399999999999,True
A-2145,"1-(4-{[4-(2,5-dioxo-2,5-dihydro-1H-pyrrol-1-yl)phenyl]methyl}phenyl)-2,5-dihydro-1H-pyrrole-2,5-dione",O=C1C=CC(=O)N1c2ccc(Cc3ccc(cc3)N4C(=O)C=CC4=O)cc2,-5.9980085438,358.353,2.13619999999999,98.956,27,4,0,6,4,132,2,0,2,4,74.76,True
A-2155,N-(2-ethoxyphenyl)-N'-(2-ethylphenyl)ethanediamide,CCOc1ccccc1NC(=O)C(=O)Nc2ccccc2CC,-6.0175466725,312.369,3.2249,90.6904,23,3,2,5,5,120,2,0,0,2,67.4299999999999,True
A-2176,"1,4-dimethyl 2-[(E)-2-{2-oxo-1-[(2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)carbamoyl]propyl}diazen-1-yl]benzene-1,4-dicarboxylate",COC(=O)c1ccc(C(=O)OC)c(c1)N=NC(C(C)=O)C(=O)Nc2ccc3NC(=O)Nc3c2,-6.3140693713,453.411,2.10939999999999,115.6551,33,9,3,12,7,170,3,0,0,3,172.14,True
A-2183,"1,3-dimethyl 5-[(E)-2-{2-oxo-1-[(2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)carbamoyl]propyl}diazen-1-yl]benzene-1,3-dicarboxylate",COC(=O)c1cc(cc(c1)C(=O)OC)N=NC(C(C)=O)C(=O)Nc2ccc3NC(=O)Nc3c2,-6.3777384512,453.411,2.10939999999999,115.6551,33,9,3,12,7,170,3,0,0,3,172.14,True
A-2233,3-hydroxy-N-(3-nitrophenyl)-2-naphthamide,Oc1cc2ccccc2cc1C(=O)Nc3cccc(c3)[N+]([O-])=O,-6.6438656239,308.293,3.7059,86.6624,23,4,2,6,3,114,3,0,0,3,92.47,True
A-2248,N-{2-[(2-benzamidophenyl)disulfanyl]phenyl}benzamide,O=C(Nc1ccccc1SSc2ccccc2NC(=O)c3ccccc3)c4ccccc4,-6.9782870605,456.592,6.9906,133.388399999999,32,4,2,6,7,158,4,0,0,4,58.2,True
A-2250,"N,N-DIBUTYLDODECANAMIDE",CCCCCCCCCCCC(=O)N(CCCC)CCCC,-7.01641207679999,311.554,6.3361,98.24,22,1,0,2,16,132,0,0,0,0,20.31,True
A-2260,"(Z)-N-(1,3-dihydroxyoctadecan-2-yl)octadec-9-enamide",CCCCCCCCCCCCCCCC(O)C(CO)NC(=O)CCCCCCC\C=C/CCCCCCCC,-6.4517618811,565.968,10.3431999999999,174.787299999999,40,3,3,4,32,238,0,0,0,0,69.56,True
A-2293,"3,4,9,10-Perylenetetracarboxylic diimide",O=C1NC(=O)c2ccc3c4ccc5C(=O)NC(=O)c6ccc(c7ccc1c2c37)c4c56,-7.59145863399999,390.354,3.0162,118.8174,30,4,2,6,0,140,7,0,0,7,99.8599999999999,True
A-2363,2-azabicyclo[2.2.1]hept-5-en-3-one,O=C1NC2CC1C=C2,0.9361608079,109.127999999999,0.0608999999999997,29.1776999999999,8,1,1,2,0,42,0,1,2,2,29.1,True
A-2390,ethyl (2S)-5-carbamimidamido-2-dodecanamidopentanoate hydrochloride,Cl.CCCCCCCCCCCC(=O)N[C@@H](CCCNC(N)=N)C(=O)OCC,-0.2316119628,421.026,3.64026999999999,116.8065,28,4,4,8,17,166,0,0,0,0,117.3,True
A-2395,3-oxo-N-[4-(3-oxobutanamido)phenyl]butanamide,CC(=O)CC(=O)Nc1ccc(NC(=O)CC(C)=O)cc1,-3.1275010898,276.292,1.52179999999999,74.2974,20,4,2,6,6,106,1,0,0,1,92.34,True
A-2403,1-(morpholin-4-yl)prop-2-en-1-one,C=CC(=O)N1CCOCC1,0.8502575853,141.17,0.0311999999999998,37.596,10,2,0,3,1,56,0,1,1,1,29.54,True
A-2421,"N-(carboxymethyl)-3-(dodecanoylamino)-N,N-dimethylpropan-1-aminium hydroxide",CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC([O-])=O,-3.13675099839999,342.524,2.2399,96.3201,24,3,1,5,16,142,0,0,0,0,69.2299999999999,True
A-2430,trans-1-(1-oxohexadecyl)-4-[(1-oxohexadecyl)oxy]-L-proline,CCCCCCCCCCCCCCCC(=O)O[C@@H]1C[C@H](N(C1)C(=O)CCCCCCCCCCCCCCC)C(O)=O,-5.7838757207,607.961,10.5462999999999,178.257799999999,43,4,1,6,30,252,0,1,1,1,83.91,True
A-2476,methyl 2-({4-[2-(2-cyano-4-nitrophenyl)diazen-1-yl]-3-acetamidophenyl}(2-methoxy-2-oxoethyl)amino)acetate,COC(=O)CN(CC(=O)OC)c1ccc(N=Nc2ccc(cc2C#N)[N+]([O-])=O)c(NC(C)=O)c1,-5.1935197379,468.426,2.99268,118.9781,34,11,1,13,9,176,2,0,0,2,176.589999999999,True
A-2489,"N-{5-[bis(prop-2-en-1-yl)amino]-2-[(E)-2-(2-chloro-4,6-dinitrophenyl)diazen-1-yl]-4-methoxyphenyl}acetamide",COc1cc(N=Nc2c(Cl)cc(cc2[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CC=C)CC=C,-4.3881793818,488.888,5.7172,128.8415,34,9,1,13,11,178,2,0,0,2,152.57,True
A-2500,"2-{[2-(acetyloxy)ethyl]({4-[(E)-2-(2-bromo-4,6-dinitrophenyl)diazen-1-yl]-5-acetamido-2-methoxyphenyl})amino}ethyl acetate",COc1cc(N=Nc2c(Br)cc(cc2[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-5.4951202425,625.389,4.5805,144.403499999999,40,13,1,17,13,214,2,0,0,2,205.17,True
A-2513,"N-{2-[(E)-2-(2-chloro-4,6-dinitrophenyl)diazen-1-yl]-5-(diethylamino)-4-methoxyphenyl}acetamide",CCN(CC)c1cc(NC(C)=O)c(cc1OC)N=Nc2c(Cl)cc(cc2[N+]([O-])=O)[N+]([O-])=O,-4.6673277833,464.866,5.385,119.7955,32,9,1,13,9,170,2,0,0,2,152.57,True
A-2519,"4',4'''-azobis[N-(9,10-dihydro-9,10-dioxo-1-anthryl)[1,1'-biphenyl]-4-carboxamide]",O=C(Nc1cccc2C(=O)c3ccccc3C(=O)c12)c4ccc(cc4)c5ccc(cc5)N=Nc6ccc(cc6)c7ccc(cc7)C(=O)Nc8cccc9C(=O)c%10ccccc%10C(=O)c89,-5.71645827929999,832.872,11.4913999999999,243.336399999999,64,8,2,10,8,304,8,0,2,10,151.2,True
